QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.040390,0.008500,0.027440,-0.012710,0.003630,0.322570,7.000000,0.160000,888x337,0.140000,0.180000,125.000000,20.100000,20.390000,10x10,0.000000,-0.935150,0.010630,0.038670,-0.029350,-0.107760,0.364430,,19.700000,0.187000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.035800,0.007570,0.024570,-0.011510,0.002880,0.326310,,0.000000,756x466,0.120000,0.170000,126.000000,21.090000,21.400000,52x43,23.480000,-0.936680,0.010000,0.038390,-0.029560,-0.108820,0.376680,3.000000,20.700000,0.196000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.030370,0.006700,0.022480,-0.010960,0.003080,0.328560,,0.000000,892x410,0.100000,0.140000,127.000000,22.060000,22.360000,10x10,0.000000,-0.945590,0.008950,0.033600,-0.027060,-0.110120,0.375600,,21.700000,0.206000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.027620,0.006040,0.020860,-0.010090,0.002840,0.335400,,0.000000,301x712,0.100000,0.130000,128.000000,23.050000,23.400000,49x10,0.000000,-0.942790,0.008810,0.034540,-0.029520,-0.110630,0.394950,,22.700000,0.215000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.024460,0.005360,0.017890,-0.009190,0.002640,0.337800,,0.000000,798x894,0.070000,0.120000,129.000000,24.050000,24.340000,41x10,0.000000,-0.947520,0.008060,0.031950,-0.028070,-0.112240,0.399940,,23.700000,0.224000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.022220,0.004750,0.016450,-0.008660,0.001570,0.342610,,0.000000,802x829,0.070000,0.110000,130.000000,25.050000,25.340000,10x10,0.000000,-0.948780,0.007730,0.031430,-0.028420,-0.113180,0.410810,,24.700000,0.234000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.019370,0.004260,0.014780,-0.007830,0.001310,0.346960,18.000000,0.070000,1002x910,0.060000,0.100000,131.000000,26.000000,26.300000,10x10,0.000000,-0.957530,0.006760,0.027350,-0.025410,-0.114630,0.405470,,25.700000,0.243000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.017390,0.003830,0.013600,-0.006750,0.001840,0.349570,,0.000000,1008x792,0.040000,0.080000,132.000000,27.010000,27.300000,10x10,0.000000,-0.957760,0.006460,0.026690,-0.025150,-0.115670,0.416750,,26.700000,0.253000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.016160,0.003660,0.012730,-0.006380,0.001960,0.359860,,0.000000,872x1059,0.040000,0.100000,133.000000,27.990000,28.300000,10x5,0.000000,-0.958380,0.006170,0.026100,-0.025760,-0.117090,0.427680,,27.700000,0.262000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.012870,0.002860,0.010210,-0.005720,0.001550,0.366080,,0.000000,1249x1095,0.020000,0.070000,135.000000,29.950000,30.290000,10x10,0.000000,-0.963340,0.005340,0.023560,-0.024650,-0.118470,0.439210,,29.700000,0.281000
